TOVAR_ID,UPAC,MAKER,GROUP_ID,NAME
192,1200.0,УРАЛБИОФАРМ,10,Витамины и аналоги
194,144.0,УФАВИТА,10,Витамины и аналоги
196,500.0,АЙ СИ ЭН ЛЕКСРЕДСТВА,3,"Противоревматические,анальгезирующие,жаропонижающие"
198,960.0,УРАЛБИОФАРМ,11,Сердечно-сосудистые средства
199,20.0,ЗДОРОВЬЕ (УКРАИНА),11,Сердечно-сосудистые средства
200,1.0,БАЙЕР,3,"Противоревматические,анальгезирующие,жаропонижающие"
205,400.0,АЙ СИ ЭН ЛЕКСРЕДСТВА,3,"Противоревматические,анальгезирующие,жаропонижающие"
206,20.0,БАЙЕР,3,"Противоревматические,анальгезирующие,жаропонижающие"
210,200.0,УПСА (БРИСТОЛ-МАЙЕРС СКВИББ),3,"Противоревматические,анальгезирующие,жаропонижающие"
217,360.0,ИПКА,11,Сердечно-сосудистые средства
221,30.0,МОСКОВСК.ЭНДОКР.З-Д,22,Офтальмология
226,28.0,БИОХИМИК,14,Купирование отравлений и интонсикаций
227,15.0,БИОХИМИК,14,Купирование отравлений и интонсикаций
228,15.0,ГЕКСАЛ АГ (САЛЮТАС ФАРМА),4,Респираторные заболевания
229,384.0,БЕЛМЕДПРЕПАРАТЫ,9,Ферменты и антиферменты
234,50.0,ВИКТОВИТ,3,"Противоревматические,анальгезирующие,жаропонижающие"
235,50.0,ЗДОРОВЬЕ (МОСКВА),3,"Противоревматические,анальгезирующие,жаропонижающие"
316,100.0,ТАТХИМФАРМ,18,Заболевания желудочно-киш.тракта
317,500.0,ТАТХИМФАРМ,18,Заболевания желудочно-киш.тракта
319,100.0,ТАТХИМФАРМ,18,Заболевания желудочно-киш.тракта
320,200.0,ВИЛАР,12,"Средства,действующие на ЦНС"
322,100.0,ТАТХИМФАРМ,18,Заболевания желудочно-киш.тракта
328,50.0,ТАЛЛИНСКИЙ ФАРМЗАВОД,29,Противопротозойные и противопаразит.
333,25.0,АСФАРМА,12,"Средства,действующие на ЦНС"
349,30.0,ТАТХИМФАРМ,15,Коррекция метаболизма
387,1.0,ХОФФМАНН ЛЯ РОШ,10,Витамины и аналоги
403,10.0,ПОЛЬФА (ПАБЬЯНИЦА),30,Сульфаниламиды
406,80.0,ПАРТНЕР АО,31,"Бактерийные препараты,вакцины,сыворотки"
408,10.0,ИММУНОПРЕПАРАТ,31,"Бактерийные препараты,вакцины,сыворотки"
410,10.0,БИОМЕД НПО (Г. ПЕРМЬ),31,"Бактерийные препараты,вакцины,сыворотки"
412,400.0,АКОС (СИНТЕЗ),20,Антибиотики
413,200.0,АКОС (СИНТЕЗ),20,Антибиотики
414,200.0,АКОС (СИНТЕЗ),20,Антибиотики
426,20.0,САМАРСКАЯ Ф. Ф-КА,3,"Противоревматические,анальгезирующие,жаропонижающие"
432,48.0,ФИТОФАРМ-НН Нижегор.з-д лек.пр-тов,19,"Антисептики,дезосредства,дезинсектанты"
433,49.0,АСФАРМА,19,"Антисептики,дезосредства,дезинсектанты"
434,80.0,БОРИСОВСКИЙ ХФЗ,19,"Антисептики,дезосредства,дезинсектанты"
446,60.0,БЕРЛИН-ХЕМИ АГ (ГРУППА МЕНАРИНИ),4,Респираторные заболевания
448,176.0,ИРБИТСКИЙ ХФЗ,12,"Средства,действующие на ЦНС"
449,24.0,РОН-ПУЛЕНК РОРЕР (АВЕНТИС),4,Респираторные заболевания
467,400.0,МОСХИМФАРМПРЕПАРАТЫ,3,"Противоревматические,анальгезирующие,жаропонижающие"
468,400.0,МОСХИМФАРМПРЕПАРАТЫ,3,"Противоревматические,анальгезирующие,жаропонижающие"
469,100.0,ДАЛЬХИМФАРМ,3,"Противоревматические,анальгезирующие,жаропонижающие"
485,9.0,ТАТХИМФАРМ,18,Заболевания желудочно-киш.тракта
487,48.0,МОСКОВСКАЯ Ф. Ф-КА,18,Заболевания желудочно-киш.тракта
489,100.0,КЬЕЗИ А.О.,11,Сердечно-сосудистые средства
492,50.0,ДЕВА ХОЛДИНГ А.Ш.,11,Сердечно-сосудистые средства
493,50.0,ДЕВА ХОЛДИНГ А.Ш.,11,Сердечно-сосудистые средства
500,2000.0,ДАЛЬХИМФАРМ,12,"Средства,действующие на ЦНС"
501,110.0,БОРИСОВСКИЙ ХФЗ,12,"Средства,действующие на ЦНС"
503,500.0,АЙ СИ ЭН ОКТЯБРЬ,11,Сердечно-сосудистые средства
504,900.0,АЙ СИ ЭН ЛЕКСРЕДСТВА,11,Сердечно-сосудистые средства
505,100.0,ФАРМАДОН,11,Сердечно-сосудистые средства
506,1.0,АЙ СИ ЭН ЛЕКСРЕДСТВА,11,Сердечно-сосудистые средства
511,80.0,МОСКОВСКАЯ Ф. Ф-КА,12,"Средства,действующие на ЦНС"
537,55.0,МОСХИМФАРМПРЕПАРАТЫ,11,Сердечно-сосудистые средства
539,1500.0,АКРИХИН,11,Сердечно-сосудистые средства
540,25.0,АКРИХИН,11,Сердечно-сосудистые средства
549,70.0,АКРИХИН,18,Заболевания желудочно-киш.тракта
550,207.0,АЙ СИ ЭН ЛЕКСРЕДСТВА,10,Витамины и аналоги
551,168.0,МОСХИМФАРМПРЕПАРАТЫ,10,Витамины и аналоги
553,100.0,ИММУНОПРЕПАРАТ,34,Иммунокорректоры
557,200.0,РИВОФАРМ,11,Сердечно-сосудистые средства
559,288.0,БЕЛМЕДПРЕПАРАТЫ,3,"Противоревматические,анальгезирующие,жаропонижающие"
560,1.0,БЕЛМЕДПРЕПАРАТЫ,3,"Противоревматические,анальгезирующие,жаропонижающие"
572,324.0,ФАРМАКОН,10,Витамины и аналоги
573,1.0,АЙ СИ ЭН МАРБИОФАРМ,10,Витамины и аналоги
575,104.0,ВЕРОФАРМ (БЕЛГОРОД),10,Витамины и аналоги
577,100.0,АЙ СИ ЭН ОКТЯБРЬ,10,Витамины и аналоги
578,1.0,УФАВИТА,10,Витамины и аналоги
579,500.0,АЙ СИ ЭН ОКТЯБРЬ,10,Витамины и аналоги
583,144.0,БОРИСОВСКИЙ ХФЗ,10,Витамины и аналоги
584,140.0,ВЕРОФАРМ (БЕЛГОРОД),10,Витамины и аналоги
586,300.0,БЕЛМЕДПРЕПАРАТЫ,10,Витамины и аналоги
587,1.0,АЛТАЙВИТАМИНЫ,10,Витамины и аналоги
588,252.0,АЙ СИ ЭН МАРБИОФАРМ,10,Витамины и аналоги
608,50.0,ПОЛЬФА,4,Респираторные заболевания
612,80.0,УЗХИМФАРМ,12,"Средства,действующие на ЦНС"
614,100.0,ГЕДЕОН РИХТЕР,12,"Средства,действующие на ЦНС"
616,1.0,ГЕДЕОН РИХТЕР,12,"Средства,действующие на ЦНС"
619,48.0,ПЛИВА,18,Заболевания желудочно-киш.тракта
629,160.0,АЛТАЙВИТАМИНЫ,10,Витамины и аналоги
630,25.0,НОВОСИБХИМФАРМ,17,Урология и андрология
631,100.0,ТАТХИМФАРМ,17,Урология и андрология
658,40.0,ВЕРОФАРМ (БЕЛГОРОД),10,Витамины и аналоги
660,100.0,ХИНОИН (САНОФИ-СИНТЕЛАБО),20,Антибиотики
661,20.0,ХИНОИН (САНОФИ-СИНТЕЛАБО),20,Антибиотики
665,117.0,НИЖФАРМ,11,Сердечно-сосудистые средства
680,0.0,АКРИХИН,19,"Антисептики,дезосредства,дезинсектанты"
681,100.0,ТАТХИМФАРМ,19,"Антисептики,дезосредства,дезинсектанты"
686,0.0,ЯНССЕН СИЛАГ,7,Дерматология и венерология
688,0.0,ЯНССЕН СИЛАГ,7,Дерматология и венерология
689,200.0,НИЖФАРМ,7,Дерматология и венерология
692,40.0,АЛТАЙВИТАМИНЫ,7,Дерматология и венерология
696,0.0,ЯНССЕН ФАРМАСЬЮТИКА (ЯНССЕН-СИЛАГ),37,Антиаллергические препараты
697,0.0,ЯНССЕН ФАРМАСЬЮТИКА (ЯНССЕН-СИЛАГ),37,Антиаллергические препараты
700,0.0,РОССИЯ,37,Антиаллергические препараты
701,0.0,ЯНССЕН ФАРМАСЬЮТИКА (ЯНССЕН-СИЛАГ),37,Антиаллергические препараты
702,0.0,ЯНССЕН ФАРМАСЬЮТИКА (ЯНССЕН-СИЛАГ),37,Антиаллергические препараты
705,30.0,ЩЕЛКОВ.ВИТ. З-Д,38,Противодиабетические средства
707,120.0,МОСХИМФАРМПРЕПАРАТЫ,15,Коррекция метаболизма
708,250.0,БИОТИКИ,15,Коррекция метаболизма
709,72.0,ВИФИТЭХ,4,Респираторные заболевания
713,28.0,БИОХИМИК,14,Купирование отравлений и интонсикаций
721,45.0,АКОС (СИНТЕЗ),15,Коррекция метаболизма
724,0.0,БЕРИНГЕР ИНГЕЛЬХАЙМ ГМБХ,38,Противодиабетические средства
725,200.0,ТБИЛХИМФАРМ,12,"Средства,действующие на ЦНС"
727,20.0,МОСКОВСК.ЭНДОКР.З-Д,5,Гормоны
733,80.0,НОВИС-97,3,"Противоревматические,анальгезирующие,жаропонижающие"
734,30.0,КРКА,10,Витамины и аналоги
746,100.0,БИОСИНТЕЗ,20,Антибиотики
748,12.0,ШТАДА,3,"Противоревматические,анальгезирующие,жаропонижающие"
749,54.0,ЯРОСЛАВСКАЯ Ф.Ф-КА,4,Респираторные заболевания
750,19.0,ЛУЖСКИЙ З-Д БЕЛКОЗИН,11,Сердечно-сосудистые средства
751,36.0,ЛУЖСКИЙ З-Д БЕЛКОЗИН,11,Сердечно-сосудистые средства
752,120.0,ТАЛЛИНСКИЙ ФАРМЗАВОД,15,Коррекция метаболизма
753,120.0,ТАЛЛИНСКИЙ ФАРМЗАВОД,15,Коррекция метаболизма
756,64.0,ТВЕРСКАЯ Ф. Ф-КА,3,"Противоревматические,анальгезирующие,жаропонижающие"
759,10.0,АПДЖОН (ФАРМАЦИЯ И АПДЖОН),20,Антибиотики
763,5.0,САНОФИ-СИНТЕЛАБО,5,Гормоны
764,10.0,ПОЛИ ИНДАСТРИА ХЕМИКА,7,Дерматология и венерология
777,1.0,ЮНИФАРМ,10,Витамины и аналоги
779,200.0,АЙ СИ ЭН ОКТЯБРЬ,10,Витамины и аналоги
786,48.0,КРКА/ВЕКТОР,5,Гормоны
791,0.0,БРЫНЦАЛОВ,5,Гормоны
804,90.0,ЛЕК,7,Дерматология и венерология
826,1.0,РУСАН ФАРМА ЛТД,12,"Средства,действующие на ЦНС"
827,1000.0,ЩЕЛКОВ.ВИТ. З-Д,37,Антиаллергические препараты
828,300.0,ФАРМАК,37,Антиаллергические препараты
829,324.0,АЙ СИ ЭН МАРБИОФАРМ,37,Антиаллергические препараты
837,800.0,МЕДИСОРБ ЗАО,11,Сердечно-сосудистые средства
841,300.0,ГНИИ СТАНД-И И КОНТРОЛЯ ЛЕК.СРЕД-В МЗ РФ,11,Сердечно-сосудистые средства
842,200.0,ТАЛЛИНСКИЙ ФАРМЗАВОД,11,Сердечно-сосудистые средства
844,55.0,МОСХИМФАРМПРЕПАРАТЫ,11,Сердечно-сосудистые средства
848,1.0,ЮНИК ФАРМАСЬЮТИКЕЛ,3,"Противоревматические,анальгезирующие,жаропонижающие"
849,1.0,ЮНИК ФАРМАСЬЮТИКЕЛ,3,"Противоревматические,анальгезирующие,жаропонижающие"
851,20.0,ЮНИК ФАРМАСЬЮТИКЕЛ,3,"Противоревматические,анальгезирующие,жаропонижающие"
855,180.0,ХЕМОФАРМ,3,"Противоревматические,анальгезирующие,жаропонижающие"
857,1.0,РИВОФАРМ,3,"Противоревматические,анальгезирующие,жаропонижающие"
866,20.0,МОСХИМФАРМПРЕПАРАТЫ,8,Синтетические антибактериальные препараты
867,50.0,АЙ СИ ЭН ОКТЯБРЬ,8,Синтетические антибактериальные препараты
870,10.0,ШЕРИНГ ПЛАУ,5,Гормоны
872,28.0,БИОХИМИК,14,Купирование отравлений и интонсикаций
874,15.0,БИОХИМИК,14,Купирование отравлений и интонсикаций
877,24.0,МОСХИМФАРМПРЕПАРАТЫ,21,Анестезиология и реанимация
879,1000.0,АЙ СИ ЭН ОКТЯБРЬ,12,"Средства,действующие на ЦНС"
884,10.0,ЛЕК,11,Сердечно-сосудистые средства
887,1.0,ЛЕК,11,Сердечно-сосудистые средства
906,10.0,ОРИОН КОРПОРЕЙШНЛ,11,Сердечно-сосудистые средства
907,6.0,КВАЙССЕР ФАРМА,10,Витамины и аналоги
908,50.0,БРЫНЦАЛОВ,11,Сердечно-сосудистые средства
914,100.0,МОСКОВСК.ЭНДОКР.З-Д,12,"Средства,действующие на ЦНС"
926,24.0,САМСОН,42,Кровезаменители
937,176.0,РАНБАКСИ ЛАБ.,8,Синтетические антибактериальные препараты
949,10.0,ГЛАКСО ВЭЛКОМ,43,Противовирусные ср-ва
950,12.0,ГЛАКСО ВЭЛКОМ,43,Противовирусные ср-ва
952,0.0,МЕРК ШАРП И ДОУМ,11,Сердечно-сосудистые средства
954,1.0,ЗЕНЕКА,6,Противоопухолевые ср-ва
960,1.0,ГЛАКСО ВЭЛКОМ,18,Заболевания желудочно-киш.тракта
988,200.0,ТАТХИМФАРМ,3,"Противоревматические,анальгезирующие,жаропонижающие"
989,112.0,ЩЕЛКОВ.ВИТ. З-Д,3,"Противоревматические,анальгезирующие,жаропонижающие"
992,180.0,БРЫНЦАЛОВ,3,"Противоревматические,анальгезирующие,жаропонижающие"
999,1.0,ФАРМАЦИЯ-АД (ФАРМАХИМ),11,Сердечно-сосудистые средства
1000,5.0,ШВАРЦ ФАРМА АГ,11,Сердечно-сосудистые средства
1002,1.0,ШВАРЦ ФАРМА АГ,11,Сердечно-сосудистые средства
1009,29.0,БОРИСОВСКИЙ ХФЗ,8,Синтетические антибактериальные препараты
1013,1.0,КНОЛЛЬ,11,Сердечно-сосудистые средства
1014,5.0,КНОЛЛЬ,11,Сердечно-сосудистые средства
1015,10.0,КНОЛЛЬ,11,Сердечно-сосудистые средства
1020,144.0,ЯНССЕН СИЛАГ,18,Заболевания желудочно-киш.тракта
1021,1.0,ГЕДЕОН РИХТЕР,18,Заболевания желудочно-киш.тракта
1022,70.0,ЛЕК,34,Иммунокорректоры
1023,1.0,ИММУНОПРЕПАРАТ,34,Иммунокорректоры
1026,40.0,ИММУНОПРЕПАРАТ,34,Иммунокорректоры
1028,20.0,РОН-ПУЛЕНК РОРЕР (АВЕНТИС),12,"Средства,действующие на ЦНС"
1031,50.0,ПАБ (ХОРВАТИЯ),4,Респираторные заболевания
1044,10.0,НИКОМЕД,11,Сердечно-сосудистые средства
1045,10.0,НИКОМЕД,11,Сердечно-сосудистые средства
1047,6.0,РОН-ПУЛЕНК РОРЕР (АВЕНТИС),37,Антиаллергические препараты
1048,6.0,АВЕНТИС ФАРМА,37,Антиаллергические препараты
1051,10.0,БОРИСОВСКИЙ ХФЗ,11,Сердечно-сосудистые средства
1053,168.0,ФЕРМЕНТ,34,Иммунокорректоры
1056,12.0,АПДЖОН (ФАРМАЦИЯ И АПДЖОН),15,Коррекция метаболизма
1057,0.0,ШЕРИНГ ПЛАУ,34,Иммунокорректоры
1063,180.0,ПЛИВА,7,Дерматология и венерология
1083,360.0,АКРИХИН,15,Коррекция метаболизма
1088,6.0,ГЛАКСО ВЭЛКОМ,3,"Противоревматические,анальгезирующие,жаропонижающие"
1089,35.0,ГЛАКСО ВЭЛКОМ,3,"Противоревматические,анальгезирующие,жаропонижающие"
1092,200.0,ТАТХИМФАРМ,4,Респираторные заболевания
1097,20.0,МОСХИМФАРМПРЕПАРАТЫ,15,Коррекция метаболизма
1099,200.0,ТАТХИМФАРМ,15,Коррекция метаболизма
1101,10.0,ДАЛЬХИМФАРМ,15,Коррекция метаболизма
1102,60.0,БИОМЕД ИМ.МЕЧНИКОВА,15,Коррекция метаболизма
1103,64.0,МОСХИМФАРМПРЕПАРАТЫ,4,Респираторные заболевания
1104,1.0,ФАРМАДОН,12,"Средства,действующие на ЦНС"
1105,100.0,ФАРМАДОН,12,"Средства,действующие на ЦНС"
1111,400.0,ГЛЕНМАРК ФАРМА.ЛТД.,7,Дерматология и венерология
1120,50.0,САМАРСКАЯ Ф. Ф-КА,4,Респираторные заболевания
1125,50.0,БРЫНЦАЛОВ,20,Антибиотики
1127,10.0,ШВАРЦ ФАРМА АГ,11,Сердечно-сосудистые средства
1130,1.0,ШВАРЦ ФАРМА АГ,11,Сердечно-сосудистые средства
1131,5.0,ШВАРЦ ФАРМА АГ,11,Сердечно-сосудистые средства
1141,8.0,ФАРМАХИМ,18,Заболевания желудочно-киш.тракта
1144,100.0,НИЖФАРМ,18,Заболевания желудочно-киш.тракта
1160,50.0,АЙ СИ ЭН ЛЕКСРЕДСТВА,3,"Противоревматические,анальгезирующие,жаропонижающие"
1161,50.0,ГЕДЕОН РИХТЕР,18,Заболевания желудочно-киш.тракта
1162,200.0,ГЕДЕОН РИХТЕР,18,Заболевания желудочно-киш.тракта
1167,200.0,АВЕНТИС ФАРМА,37,Антиаллергические препараты
1171,10.0,ЛЕК,3,"Противоревматические,анальгезирующие,жаропонижающие"
1187,36.0,МОСХИМФАРМПРЕПАРАТЫ,11,Сердечно-сосудистые средства
1192,100.0,ТАТХИМФАРМ,12,"Средства,действующие на ЦНС"
1196,40.0,ШЕРИНГ ПЛАУ,37,Антиаллергические препараты
1208,1.0,МЕРК ШАРП И ДОУМ,3,"Противоревматические,анальгезирующие,жаропонижающие"
1210,1.0,КНОЛЛЬ,11,Сердечно-сосудистые средства
1217,1.0,АЙ СИ ЭН ТОМСКИЙ ХФЗ,11,Сердечно-сосудистые средства
1219,400.0,ОРГАНИКА,11,Сердечно-сосудистые средства
1221,20.0,МЕРК ШАРП И ДОУМ,11,Сердечно-сосудистые средства
1238,128.0,УФАВИТА,10,Витамины и аналоги
1259,50.0,ОЗ ГНЦЛС ( УКРАИНА),11,Сердечно-сосудистые средства
1260,10.0,АРЦНАЙМИТТЕЛЬВЕРК ДРЕЗДЕН (АСТА МЕДИКА),11,Сердечно-сосудистые средства
1261,1.0,КРКА,11,Сердечно-сосудистые средства
1263,160.0,САНОФИ-СИНТЕЛАБО,11,Сердечно-сосудистые средства
1281,50.0,БОРИСОВСКИЙ ХФЗ,12,"Средства,действующие на ЦНС"
1283,600.0,ТАТХИМФАРМ,12,"Средства,действующие на ЦНС"
1343,50.0,НОВОСИБХИМФАРМ,11,Сердечно-сосудистые средства
1347,1.0,ИРБИТСКИЙ ХФЗ,11,Сердечно-сосудистые средства
1348,49.0,МОСХИМФАРМПРЕПАРАТЫ,15,Коррекция метаболизма
1359,10.0,БЕРЛИН-ХЕМИ АГ (ГРУППА МЕНАРИНИ),11,Сердечно-сосудистые средства
1360,10.0,БЕРЛИН-ХЕМИ АГ (ГРУППА МЕНАРИНИ),11,Сердечно-сосудистые средства
1368,40.0,ХЕХСТ МАРИОН РУССЕЛЬ,50,Диуретики
1369,180.0,ХЕХСТ МАРИОН РУССЕЛЬ,50,Диуретики
1370,40.0,ХЕХСТ МАРИОН РУССЕЛЬ,50,Диуретики
1371,120.0,ХЕХСТ МАРИОН РУССЕЛЬ,50,Диуретики
1389,40.0,АЙ СИ ЭН ТОМСКИЙ ХФЗ,12,"Средства,действующие на ЦНС"
1390,30.0,НИЖФАРМ,7,Дерматология и венерология
1395,1.0,ДИАФАРМ,20,Антибиотики
1397,360.0,БРЫНЦАЛОВ А,20,Антибиотики
1401,250.0,БИОСИНТЕЗ,20,Антибиотики
1402,180.0,МАДАУС,18,Заболевания желудочно-киш.тракта
1410,1.0,НАТУРВАРЕН (ДР.ТАЙС),4,Респираторные заболевания
1446,10.0,ЛЕК,11,Сердечно-сосудистые средства
1451,20.0,ДАЛЬХИМФАРМ,17,Урология и андрология
1455,50.0,ХИМАЛАЯ ДРАГ,18,Заболевания желудочно-киш.тракта
1456,10.0,БЕЛМЕДПРЕПАРАТЫ,9,Ферменты и антиферменты
1457,230.0,БЕЛМЕДПРЕПАРАТЫ,9,Ферменты и антиферменты
1458,20.0,НИКОМЕД,30,Сульфаниламиды
1460,10.0,НИКОМЕД,30,Сульфаниламиды
1461,55.0,МОСХИМФАРМПРЕПАРАТЫ,21,Анестезиология и реанимация
1462,40.0,ЭГИС,21,Анестезиология и реанимация
1470,60.0,ТВЕРСКАЯ Ф. Ф-КА,7,Дерматология и венерология
1473,1.0,АЛТАЙВИТАМИНЫ,7,Дерматология и венерология
1474,30.0,НИЖФАРМ,7,Дерматология и венерология
1475,20.0,ЯРОСЛАВСКАЯ Ф.Ф-КА,3,"Противоревматические,анальгезирующие,жаропонижающие"
1480,40.0,НИЖФАРМ,7,Дерматология и венерология
1484,80.0,АКРИХИН,20,Антибиотики
1489,324.0,АЙ СИ ЭН МАРБИОФАРМ,18,Заболевания желудочно-киш.тракта
1490,800.0,АЙ СИ ЭН МАРБИОФАРМ,18,Заболевания желудочно-киш.тракта
1492,1.0,РОН-ПУЛЕНК РОРЕР (АВЕНТИС),11,Сердечно-сосудистые средства
1495,10.0,БРИСТОЛ-МАЙЕРС СКВИББ ГМБХ,11,Сердечно-сосудистые средства
1496,5.0,НИКОМЕД,21,Анестезиология и реанимация
1498,10.0,ЯМАНУЧИ,7,Дерматология и венерология
1499,1.0,ЯМАНУЧИ,7,Дерматология и венерология
1500,1.0,ЯМАНУЧИ,7,Дерматология и венерология
1503,1.0,ФАЙСОНС (РОН-ПУЛЕНК РОРЕР),37,Антиаллергические препараты
1504,0.0,ГЕКСАЛ АГ (САЛЮТАС ФАРМА),18,Заболевания желудочно-киш.тракта
1518,1.0,НОВАРТИС АГ (ШВЕЦАРИЯ),12,"Средства,действующие на ЦНС"
1533,10.0,РОН-ПУЛЕНК РОРЕР (АВЕНТИС),12,"Средства,действующие на ЦНС"
1535,15.0,САМАРСКАЯ Ф. Ф-КА,7,Дерматология и венерология
1540,35.0,КИРОВСКАЯ Ф. Ф-КА,29,Противопротозойные и противопаразит.
1541,10.0,АЙ СИ ЭН ГАЛЕНИКА,7,Дерматология и венерология
1543,200.0,НИЖФАРМ,20,Антибиотики
1547,30.0,АКРИХИН,7,Дерматология и венерология
1551,10.0,БИОСИНТЕЗ,7,Дерматология и венерология
1552,200.0,НИЖФАРМ,7,Дерматология и венерология
1555,198.0,СОЮЗ ФАРМАЦЕВТОВ АЗЕРБАЙДЖАНА,7,Дерматология и венерология
1556,70.0,СОЮЗ ФАРМАЦЕВТОВ АЗЕРБАЙДЖАНА,7,Дерматология и венерология
1559,32.0,С-ПЕТЕРБУРГСКАЯ Ф. Ф-КА,3,"Противоревматические,анальгезирующие,жаропонижающие"
1562,1.0,АМЕРИКАН ДРАГ КОМПАНИ,7,Дерматология и венерология
1564,35.0,БОРИСОВСКИЙ ХФЗ,3,"Противоревматические,анальгезирующие,жаропонижающие"
1568,144.0,САН ФАРМАСЬЮТИКАЛ (ИНДИЯ),7,Дерматология и венерология
1569,25.0,ГАЛИЧФАРМ,7,Дерматология и венерология
1570,117.0,НИЖФАРМ,3,"Противоревматические,анальгезирующие,жаропонижающие"
1574,1.0,АМЕРИКАН ДРАГ КОМПАНИ,7,Дерматология и венерология
1584,237.0,КРКА/ВЕКТОР,20,Антибиотики
1586,50.0,СЕАРЛЕ,8,Синтетические антибактериальные препараты
1593,270.0,БЕРЛИН-ХЕМИ АГ (ГРУППА МЕНАРИНИ),38,Противодиабетические средства
1594,28.0,БИОХИМИК,50,Диуретики
1595,15.0,БИОХИМИК,50,Диуретики
1599,5.0,ОРГАНОН,53,Акушерство и гинекология
1600,100.0,ОРГАНОН,53,Акушерство и гинекология
1655,1.0,МЕРК ШАРП И ДОУМ,11,Сердечно-сосудистые средства
1658,40.0,ОРГАНИКА,12,"Средства,действующие на ЦНС"
1659,600.0,ОЗ ГНЦЛС ( УКРАИНА),11,Сердечно-сосудистые средства
1667,15.0,ЛЕК,4,Респираторные заболевания
