DATE,STOREID,PRODID,HOUR,COUNT,SUM,NAME_x,NAME_y,FKGCODE,FKGNAME
2004-01-04,1,2291,14,1,276.8,Аптека 1,Кальций-Д_3 Никомед табл.жев. с апельс. фл. 100 Nycomed Pharma,198,Витамины и витаминоподобные средства
2004-01-04,1,11291,11,1,86.94,Аптека 1,"Арбидол-ЛЭНС табл.п.о. 0,05 г уп.контурн.яч. 10 пач.картон. 1 ЛЭНС-Фарм",33,Иммуномодуляторы
2004-01-04,1,11931,14,1,13.6,Аптека 1,Аспаркам табл. уп.контурн.яч. 50 пач.картон. 1 Галичфарм,108,Микро- и макроэлементы
2004-01-04,1,28551,17,1,15.22,Аптека 1,Желудочно-кишечный сбор сбор лек. фильтр-пак. 2 г пач.картон. 10 Красногорсклексредства,223,Желчегонные средства и препараты желчи
2004-01-04,1,31052,13,1,56.5,Аптека 1,Ингалипт аэроз. бал.аэроз.алюм. 30 мл пач.картон. 1 Ай Си Эн Октябрь,247,Антисептики и дезинфицирующие средства
2004-01-04,1,31052,17,1,56.5,Аптека 1,Ингалипт аэроз. бал.аэроз.алюм. 30 мл пач.картон. 1 Ай Си Эн Октябрь,247,Антисептики и дезинфицирующие средства
2004-01-04,1,32560,13,2,10.56,Аптека 1,Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-04,1,33340,16,1,36.67,Аптека 1,Каметон аэроз. бал.аэроз. 30 г [с доз.устр.] пач.картон. 1 Мосхимфармпрепараты,247,Антисептики и дезинфицирующие средства
2004-01-04,1,40345,17,1,15.84,Аптека 1,Линимент бальзамический (по Вишневскому) линим. туба 30 г пач.картон. 1 Алтайвитамины,247,Антисептики и дезинфицирующие средства
2004-01-04,1,45816,12,1,123.16,Аптека 1,Мульти-табс Юниор табл.жев. с малин.-клубн. бл. 15 кор. 2 Ferrosan,198,Витамины и витаминоподобные средства
2004-01-04,1,52458,12,1,46.99,Аптека 1,Панангин табл.п.о. фл. 50 кор. 1 Gedeon Richter,108,Микро- и макроэлементы
2004-01-04,1,71804,14,1,22.57,Аптека 1,Фенюльс капс. бл. 10 кор. 1 Ranbaxy,198,Витамины и витаминоподобные средства
2004-01-04,1,79038,13,2,7.2,Аптека 1,Эвкалипта настойка настойка фл. 25 мл Санкт-Петербургская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-04,1,79107,17,1,19.43,Аптека 1,Эвкалипта прутовидного листья лек.раст.сырье пак. 75 г пач.картон. 1 Красногорсклексредства,247,Антисептики и дезинфицирующие средства
2004-01-05,1,828,11,1,34.98,Аптека 1,Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис,33,Иммуномодуляторы
2004-01-05,1,15955,9,1,343.99,Аптека 1,Болюсы Хуато пилюли бан. 80 г [с доз.ложкой] кор. 1 Qixing Pharmaceutical Co.,48,Общетонизирующие средства и адаптогены
2004-01-05,1,28092,15,1,72.07,Аптека 1,Дуовит драже уп.контурн.яч. 10 кор. 4 KRKA,198,Витамины и витаминоподобные средства
2004-01-05,1,32560,14,1,5.28,Аптека 1,Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-05,1,32560,15,1,5.28,Аптека 1,Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-05,1,33340,12,1,36.67,Аптека 1,Каметон аэроз. бал.аэроз. 30 г [с доз.устр.] пач.картон. 1 Мосхимфармпрепараты,247,Антисептики и дезинфицирующие средства
2004-01-05,1,33513,16,1,5.81,Аптека 1,Камфорный спирт 10% р-р спирт.наружн. 10 % фл.темн.стекл. 40 мл Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-05,1,50780,19,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-05,1,52458,18,1,46.99,Аптека 1,Панангин табл.п.о. фл. 50 кор. 1 Gedeon Richter,108,Микро- и макроэлементы
2004-01-05,1,57168,13,1,128.96,Аптека 1,Прегнавит капс. бл. 10 кор. 3 Merckle,198,Витамины и витаминоподобные средства
2004-01-05,1,65841,17,1,163.02,Аптека 1,Стрепсилс Плюс спрей доз. фл.с дозат. 20 мл кор. 1 Boots Healthcare International,247,Антисептики и дезинфицирующие средства
2004-01-05,1,78981,19,1,44.48,Аптека 1,Эвкалипт табл.д/рассас. уп.контурн.яч. 10 кор. 2 Natur Product,247,Антисептики и дезинфицирующие средства
2004-01-06,1,1145,10,1,270.4,Аптека 1,Виферон супп.рект. 500000 МЕ уп.контурн.яч. 10 № 2 Ферон,33,Иммуномодуляторы
2004-01-06,1,1145,13,1,270.4,Аптека 1,Виферон супп.рект. 500000 МЕ уп.контурн.яч. 10 № 2 Ферон,33,Иммуномодуляторы
2004-01-06,1,2289,14,1,181.1,Аптека 1,Кальций-Д_3 Никомед табл.жев. с апельс. фл. 50 Nycomed Pharma,198,Витамины и витаминоподобные средства
2004-01-06,1,11931,10,1,13.6,Аптека 1,Аспаркам табл. уп.контурн.яч. 50 пач.картон. 1 Галичфарм,108,Микро- и макроэлементы
2004-01-06,1,21270,15,1,98.21,Аптека 1,"Гексорал р-р наружн. 0,1 % фл. 200 мл кор. 1 Parke-Davis",247,Антисептики и дезинфицирующие средства
2004-01-06,1,21270,19,1,98.21,Аптека 1,"Гексорал р-р наружн. 0,1 % фл. 200 мл кор. 1 Parke-Davis",247,Антисептики и дезинфицирующие средства
2004-01-06,1,27490,16,1,126.06,Аптека 1,Доктор Тайсс сироп с подорожником от кашля сироп фл. 100 мл кор. 1 Dr. Theiss Naturwaren,247,Антисептики и дезинфицирующие средства
2004-01-06,1,32438,19,1,88.7,Аптека 1,"Бальзам для губ Календула Доктор Тайсс бальзам наружн. пен. 4,8 г уп.карт. 1 Dr. Theiss Naturwaren",247,Антисептики и дезинфицирующие средства
2004-01-06,1,33513,12,1,7.26,Аптека 1,Камфорный спирт 10% р-р спирт.наружн. 10 % фл.темн.стекл. 40 мл Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-06,1,33513,19,1,7.26,Аптека 1,Камфорный спирт 10% р-р спирт.наружн. 10 % фл.темн.стекл. 40 мл Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-06,1,33704,14,1,134.14,Аптека 1,Капли Береш Плюс капли для приема внутрь фл. 30 мл кор. 1 Beres,33,Иммуномодуляторы
2004-01-06,1,50780,8,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-06,1,50780,9,2,17.44,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-06,1,50780,10,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-06,1,50780,11,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-06,1,50780,14,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-06,1,50780,16,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-06,1,50780,18,2,17.44,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-06,1,50780,20,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-06,1,58592,12,1,86.33,Аптека 1,Пульмекс бэби мазь туба 20 г кор. 1 Novartis Consumer Health SA,247,Антисептики и дезинфицирующие средства
2004-01-06,1,70284,16,1,63.65,Аптека 1,Туссамаг капли для приема внутрь фл.-кап.темн.стекл. 20 г кор. 1 ct-Arzneimittel Chemische Tempelhof,247,Антисептики и дезинфицирующие средства
2004-01-06,1,79108,13,1,14.39,Аптека 1,Эвкалипта прутовидного листья лек.раст.сырье пак.бум. 50 г пач.картон. 1 Иван-Чай,247,Антисептики и дезинфицирующие средства
2004-01-06,1,82545,15,1,173.32,Аптека 1,"Арбидол-ЛЭНС табл.п.о. 0,1 г бл. 10 кор. 1 Дальхимфарм",33,Иммуномодуляторы
2004-01-06,1,82545,17,1,173.32,Аптека 1,"Арбидол-ЛЭНС табл.п.о. 0,1 г бл. 10 кор. 1 Дальхимфарм",33,Иммуномодуляторы
2004-01-06,1,82845,15,2,63.24,Аптека 1,Стрепсилс Плюс табл. бл. 8 Boots Healthcare International,247,Антисептики и дезинфицирующие средства
2004-01-06,1,83480,8,10,59.9,Аптека 1,Интерферон лейкоцитарный человеческий сухой пор.лиоф. 1000 МЕ 4 доз амп. № 1 Иммунопрепарат,33,Иммуномодуляторы
2004-01-07,1,828,13,1,34.98,Аптека 1,Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис,33,Иммуномодуляторы
2004-01-07,1,33068,13,1,60.19,Аптека 1,Кальцинова табл. уп.контурн.яч. 9 кор. 3 KRKA,198,Витамины и витаминоподобные средства
2004-01-07,1,38453,14,1,104.68,Аптека 1,"Куриозин гель наружн. 15,4 мг туба 15 г кор. 1 Gedeon Richter",247,Антисептики и дезинфицирующие средства
2004-01-07,1,43728,10,2,9.46,Аптека 1,Меновазин р-р спирт.наружн. фл.темн.стекл. 40 мл Волгоградская фармфабрика,50,Местные анестетики
2004-01-07,1,50780,12,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-07,1,50780,16,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-07,1,50780,17,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-07,1,58590,16,1,126.59,Аптека 1,Пульмекс мазь туба 40 г кор. 1 Novartis Consumer Health SA,247,Антисептики и дезинфицирующие средства
2004-01-07,1,83563,19,1,47.95,Аптека 1,Доктор Тайсс Эвкалипт леденцы 50 г Dr. Theiss Naturwaren,247,Антисептики и дезинфицирующие средства
2004-01-08,1,28092,13,1,82.1,Аптека 1,Дуовит драже уп.контурн.яч. 10 кор. 4 KRKA,198,Витамины и витаминоподобные средства
2004-01-08,1,28560,18,1,27.28,Аптека 1,Желудочно-кишечный сбор сбор лек. фильтр-пак. 2 г пач.картон. 20 Красногорсклексредства,223,Желчегонные средства и препараты желчи
2004-01-08,1,31052,12,1,56.5,Аптека 1,Ингалипт аэроз. бал.аэроз.алюм. 30 мл пач.картон. 1 Ай Си Эн Октябрь,247,Антисептики и дезинфицирующие средства
2004-01-08,1,32427,19,1,66.53,Аптека 1,Калгель гель зубн. туба 10 г пач.картон. 1 Glaxo Wellcome Operations,50,Местные анестетики
2004-01-08,1,32435,14,2,17.64,Аптека 1,Календула мазь туба 30 г пач.картон. 1 Московская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-08,1,33513,17,1,5.81,Аптека 1,Камфорный спирт 10% р-р спирт.наружн. 10 % фл.темн.стекл. 40 мл Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-08,1,36259,10,1,72.48,Аптека 1,Компливит табл.п.о. бан.полимерн. 60 пач.картон. 1 УфаВита,198,Витамины и витаминоподобные средства
2004-01-08,1,36259,17,1,72.48,Аптека 1,Компливит табл.п.о. бан.полимерн. 60 пач.картон. 1 УфаВита,198,Витамины и витаминоподобные средства
2004-01-08,1,40345,18,1,15.84,Аптека 1,Линимент бальзамический (по Вишневскому) линим. туба 30 г пач.картон. 1 Алтайвитамины,247,Антисептики и дезинфицирующие средства
2004-01-08,1,50780,16,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-08,1,50780,17,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-08,1,50780,19,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-08,1,50780,20,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-08,1,79038,13,1,3.6,Аптека 1,Эвкалипта настойка настойка фл. 25 мл Санкт-Петербургская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-09,1,828,11,1,34.98,Аптека 1,Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис,33,Иммуномодуляторы
2004-01-09,1,3626,12,1,78.54,Аптека 1,Панангин р-р д/ин. амп. 10 мл кор. 5 Gedeon Richter,108,Микро- и макроэлементы
2004-01-09,1,11291,19,2,173.88,Аптека 1,"Арбидол-ЛЭНС табл.п.о. 0,05 г уп.контурн.яч. 10 пач.картон. 1 ЛЭНС-Фарм",33,Иммуномодуляторы
2004-01-09,1,11824,16,1,12.41,Аптека 1,Аскорутин табл. уп.контурн.яч. 10 пач.картон. 5 ICN Марбиофарм,198,Витамины и витаминоподобные средства
2004-01-09,1,25127,20,1,85.06,Аптека 1,Дентинокс р-р фл.-кап.темн.стекл. 10 мл кор. 1 Dentinox,50,Местные анестетики
2004-01-09,1,28558,16,2,49.9,Аптека 1,Желудочно-кишечный сбор сбор лек. пак.бум. 50 г пач.картон. 1 Красногорсклексредства,223,Желчегонные средства и препараты желчи
2004-01-09,1,32427,16,1,58.61,Аптека 1,Калгель гель зубн. туба 10 г пач.картон. 1 Glaxo Wellcome Operations,50,Местные анестетики
2004-01-09,1,32560,15,1,7.1,Аптека 1,Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-09,1,33037,18,1,102.7,Аптека 1,Кальций-Д_3 Никомед форте табл.жев. с лимон. фл. 30 Nycomed Pharma,198,Витамины и витаминоподобные средства
2004-01-09,1,36259,9,1,72.48,Аптека 1,Компливит табл.п.о. бан.полимерн. 60 пач.картон. 1 УфаВита,198,Витамины и витаминоподобные средства
2004-01-09,1,36259,14,1,72.48,Аптека 1,Компливит табл.п.о. бан.полимерн. 60 пач.картон. 1 УфаВита,198,Витамины и витаминоподобные средства
2004-01-09,1,50780,9,2,17.44,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-09,1,50780,11,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-09,1,50780,15,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-09,1,50780,16,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-09,1,50780,17,2,17.44,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-09,1,50780,18,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-09,1,82545,13,1,173.32,Аптека 1,"Арбидол-ЛЭНС табл.п.о. 0,1 г бл. 10 кор. 1 Дальхимфарм",33,Иммуномодуляторы
2004-01-10,1,828,12,1,34.98,Аптека 1,Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис,33,Иммуномодуляторы
2004-01-10,1,828,15,1,34.98,Аптека 1,Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис,33,Иммуномодуляторы
2004-01-10,1,8790,11,1,304.66,Аптека 1,Амиксин табл.п.о. 60 мг компл.уп.-фармац. 6 пач.картон. 1 Дальхимфарм,33,Иммуномодуляторы
2004-01-10,1,11834,11,1,10.86,Аптека 1,Аскорутин табл. бан.темн.стекл. 50 пач.картон. 1 Биосинтез,198,Витамины и витаминоподобные средства
2004-01-10,1,27498,14,1,66.79,Аптека 1,Доктор Тайсс экстракт эхинацеи табл.д/рассас. бл. 12 кор. 1 Dr. Theiss Naturwaren,247,Антисептики и дезинфицирующие средства
2004-01-10,1,32560,12,1,7.1,Аптека 1,Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-10,1,32560,16,1,7.1,Аптека 1,Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-10,1,36259,11,1,72.48,Аптека 1,Компливит табл.п.о. бан.полимерн. 60 пач.картон. 1 УфаВита,198,Витамины и витаминоподобные средства
2004-01-10,1,36259,14,1,72.48,Аптека 1,Компливит табл.п.о. бан.полимерн. 60 пач.картон. 1 УфаВита,198,Витамины и витаминоподобные средства
2004-01-10,1,38453,13,1,109.82,Аптека 1,"Куриозин гель наружн. 15,4 мг туба 15 г кор. 1 Gedeon Richter",247,Антисептики и дезинфицирующие средства
2004-01-10,1,45816,20,1,123.16,Аптека 1,Мульти-табс Юниор табл.жев. с малин.-клубн. бл. 15 кор. 2 Ferrosan,198,Витамины и витаминоподобные средства
2004-01-10,1,50780,13,2,17.44,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-10,1,50780,14,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-10,1,50780,15,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-10,1,50780,16,2,17.44,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-10,1,50780,18,1,8.72,Аптека 1,Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика,48,Общетонизирующие средства и адаптогены
2004-01-10,1,51407,19,1,89.63,Аптека 1,Олиговит табл.п.о. уп.контурн.яч. 10 пач.картон. 3 Ай Си Эн Октябрь,198,Витамины и витаминоподобные средства
2004-01-10,1,58590,20,1,128.7,Аптека 1,Пульмекс мазь туба 40 г кор. 1 Novartis Consumer Health SA,247,Антисептики и дезинфицирующие средства
2004-01-10,1,78981,9,1,46.55,Аптека 1,Эвкалипт табл.д/рассас. уп.контурн.яч. 10 кор. 2 Natur Product,247,Антисептики и дезинфицирующие средства
2004-01-10,1,78981,19,1,46.55,Аптека 1,Эвкалипт табл.д/рассас. уп.контурн.яч. 10 кор. 2 Natur Product,247,Антисептики и дезинфицирующие средства
2004-01-10,1,79054,13,2,8.98,Аптека 1,Эвкалипта настойка настойка фл. 25 мл Тверская фармфабрика,247,Антисептики и дезинфицирующие средства
2004-01-10,1,82845,18,2,77.66,Аптека 1,Стрепсилс Плюс табл. бл. 8 Boots Healthcare International,247,Антисептики и дезинфицирующие средства
2004-01-10,1,83480,9,10,59.9,Аптека 1,Интерферон лейкоцитарный человеческий сухой пор.лиоф. 1000 МЕ 4 доз амп. № 1 Иммунопрепарат,33,Иммуномодуляторы
2004-01-11,1,828,12,1,34.98,Аптека 1,Бифидумбактерин сухой пор.лиоф.д/р-ра для приема внутрь 5 доз фл. пач.картон. 10 Экополис,33,Иммуномодуляторы
2004-01-11,1,10648,16,1,18.3,Аптека 1,Анузол супп.рект. уп.контурн.яч. 5 пач.картон. 2 Нижфарм,247,Антисептики и дезинфицирующие средства
2004-01-11,1,15955,11,1,343.99,Аптека 1,Болюсы Хуато пилюли бан. 80 г [с доз.ложкой] кор. 1 Qixing Pharmaceutical Co.,48,Общетонизирующие средства и адаптогены
2004-01-11,1,21269,11,1,186.31,Аптека 1,"Гексорал аэроз.наружн. 0,2 % бал.аэроз. 40 мл [с нас.] кор. 1 Parke-Davis",247,Антисептики и дезинфицирующие средства
2004-01-11,1,31052,10,1,56.5,Аптека 1,Ингалипт аэроз. бал.аэроз.алюм. 30 мл пач.картон. 1 Ай Си Эн Октябрь,247,Антисептики и дезинфицирующие средства
2004-01-11,1,31052,19,1,56.5,Аптека 1,Ингалипт аэроз. бал.аэроз.алюм. 30 мл пач.картон. 1 Ай Си Эн Октябрь,247,Антисептики и дезинфицирующие средства
